show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,Genre,description
81078466,Movie,Jeff Garlin: Our Man In Chicago,Christopher Storer,Jeff Garlin,United States,12-Nov-19,2019,TV-MA,59 min,Stand-Up Comedy,Comedy,"Comedian Jeff Garlin (unintentionally) celebrates his 37th year of stand-up and shares his learnings on love, loss, success and food addiction."
70174733,Movie,Bill Burr: Let It Go,Shannon Hartman,Bill Burr,United States,10-Nov-17,2010,NR,65 min,Stand-Up Comedy,Comedy,"The musings of comedian Bill Burr are let loose in this special, which was filmed at the historic Fillmore Auditorium in San Francisco."
80198018,Movie,Natalia Valdebenito: Gritona,Natalia Valdebenito,Natalia Valdebenito,United States,10-Nov-17,2017,TV-MA,76 min,Stand-Up Comedy,Comedy,"Chile's Natalia Valdebenito hits Santiago's Teatro Caupolicán with a one-woman show steeped in irony, a dash of improv and her own personal style."
80134279,Movie,Kathleen Madigan: Bothering Jesus,Lorene Machado,Kathleen Madigan,United States,10-Nov-16,2016,TV-MA,71 min,Stand-Up Comedy,Comedy,"The Irish American comic riffs on everything from growing up in Missouri, signing up her parents to be Uber drivers and anything to do with bacon."
70056663,Movie,Katt Williams: The Pimp Chronicles: Pt. 1,Gary Binkow,"Katt Williams, Anthony Anderson",United States,01-Nov-18,2006,TV-MA,45 min,Stand-Up Comedy,Comedy,"In this 2006 show, comic Katt Williams uses his edgy style and personal experiences to paint a sassy, hilarious portrait of life in black America."
70273401,Movie,Marc Maron: Thinky Pain,Lance Bangs,Marc Maron,United States,01-Nov-18,2013,TV-MA,95 min,Stand-Up Comedy,Comedy,"Alternative comic Marc Maron is back on stage in New York to talk Chinese food, drug abuse, sex in hotel rooms and life with his girlfriend."
81015100,Movie,Sommore: The Reign Continues,Kevin Layne,Sommore,United States,01-Nov-18,2015,TV-MA,93 min,Stand-Up Comedy,Comedy,"Self-proclaimed ""Queen of Comedy"" Sommore storms the stage to deliver a riotous stand-up performance in Charlotte, North Carolina."
70288423,Movie,A Russell Peters Christmas,Henry Sarwer-Foner,"Russell Peters, Pamela Anderson, Michael Bublé, Jon Lovitz, Scott Thompson, Faizon Love, Goapele, Ted Lange",Canada,01-Nov-13,2011,NR,44 min,Stand-Up Comedy,Comedy,"Inspired by the variety shows of the 1970s, ""A Russell Peters Christmas"" is a sweet, silly, sentimental and, most of all, funny Christmas special."
70290568,Movie,Aziz Ansari: Buried Alive,"Will Lovelace, Dylan Southern",Aziz Ansari,United States,01-Nov-13,2013,NR,80 min,Stand-Up Comedy,Comedy,"""Parks and Recreation"" star Aziz Ansari takes the stage to share his unfiltered views on adulthood, babies, marriage, love and more in the modern era."
80134780,Movie,"Norm Macdonald: Hitler's Dog, Gossip & Trickery",Liz Plonka,Norm MacDonald,United States,09-May-17,2017,TV-MA,61 min,Stand-Up Comedy,Comedy,"In this new stand-up special, Norm Macdonald delivers sly, deadpan observations from an older – and perhaps even wiser – point of view."
80213657,Movie,Hari Kondabolu: Warn Your Relatives,Bobcat Goldthwait,Hari Kondabolu,United States,08-May-18,2018,TV-MA,67 min,Stand-Up Comedy,Comedy,"Hari Kondabolu breaks down identity politics, celebrity encounters, his mango obsession and more in an unpredictable stand-up comedy special."
80101493,Movie,Ali Wong: Baby Cobra,Jay Karas,Ali Wong,United States,06-May-16,2016,TV-MA,60 min,Stand-Up Comedy,Comedy,"Ali Wong's stand up special delves into her sexual adventures, hoarding, the rocky road to pregnancy, and why feminism is terrible."
80193475,TV Show,A Little Help with Carol Burnett,,"Carol Burnett, Russell Peters, Mark Cuban, Taraji P. Henson, Brittany Snow, Wanda Sykes, Derek Hough, Billy Eichner, Lisa Kudrow, Candace Cameron Bure, DJ Khaled, Tony Hale, Julie Bowen",United States,04-May-18,2018,TV-G,1 Season,"Stand-Up Comedy & Talk Shows, TV Comedies",Comedy,"Comedy icon Carol Burnett returns to TV with a panel of clever kids, who help adults and celebrity guests solve their problems with brutal honesty."
80133554,Movie,Sarah Silverman A Speck of Dust,Liam Lynch,Sarah Silverman,United States,30-May-17,2017,TV-MA,71 min,Stand-Up Comedy,Comedy,"In her first comedy special post-health scare, Sarah Silverman shares a mix of fun facts, sad truths and yeah-she-just-went-there moments."
80994222,TV Show,Historical Roasts,,"Jeff Ross, Bob Saget, James Adomian, Rachel Feinstein, Jerry Minor, Ayden Mayeri, Jaleel White, Natasha Leggero, Yamaneika Saunders, John Stamos, Nikki Glaser, Seth Green, Fortune Feimster, Jon Lovitz, Mindy Rickles, Gilbert Gottfried, Sasheer Zamata, Brandon T. Jackson, Ryan Phillippe, Ken Marino, Bridget Everett, John Gemberling, Leonardo Nam, Josh Homme",United States,27-May-19,2019,TV-MA,1 Season,"Stand-Up Comedy & Talk Shows, TV Comedies",Comedy,"""Roastmaster General"" Jeff Ross and a slew of guest stars poke fun at major historical figures while also honoring their enduring impact on the world."
80239459,TV Show,The Break with Michelle Wolf,,,United States,27-May-18,2018,TV-MA,1 Season,"Stand-Up Comedy & Talk Shows, TV Comedies",Comedy,Nobody's safe as Michelle Wolf unapologetically takes aim in this weekly topical show that blends sketches with live comedy and in-studio guests.
80186850,Movie,Steve Martin and Martin Short: An Evening You Will Forget for the Rest of Your Life,Marcus Raboy,"Steve Martin, Martin Short",United States,25-May-18,2018,TV-14,74 min,Stand-Up Comedy,Comedy,"Longtime pals and showbiz icons Steve Martin and Martin Short share countless quips, catchy tunes and hilarious stories about their lives in comedy."
80151384,Movie,Tig Notaro Happy To Be Here,Tig Notaro,Tig Notaro,United States,22-May-18,2018,TV-14,58 min,Stand-Up Comedy,Comedy,"Comedian Tig Notaro unleashes her inner prankster in a playful stand-up special packed with funny anecdotes, parenting confessions and more."
80038335,Movie,Jen Kirkman: I'm Gonna Die Alone (And I Feel Fine),Lance Bangs,Jen Kirkman,United States,22-May-15,2015,TV-MA,78 min,Stand-Up Comedy,Comedy,"Jen Kirkman delivers some sharp, hilarious truths about divorce, kids, sex and turning 40 in this Netflix original comedy special."
81011598,Movie,Wanda Sykes: Not Normal,Linda Mendoza,Wanda Sykes,United States,21-May-19,2019,TV-MA,66 min,Stand-Up Comedy,Comedy,"Wanda Sykes tackles politics, reality TV, racism and the secret she'd take to the grave in this rollicking, no-holds-barred stand-up special."
80133663,Movie,Maria Bamford: Old Baby,Jessica Yu,Maria Bamford,United States,02-May-17,2017,TV-MA,64 min,Stand-Up Comedy,Comedy,"Maria Bamford performs a rapid-fire, playful stand-up set for crowds at park benches, bowling alleys and LA theaters in this roving comedy special."
70083809,Movie,Katt Williams: American Hustle (The Movie),Brit McAdams,"Katt Williams, Da Brat, Snoop Dogg, Tamala Jones, Jeremy Piven, Ludacris, Melanie Comarcho, Red Grant, Alphonso Mcauley, Damaine Radcliff, Taran Killam",United States,17-May-18,2007,NR,89 min,Stand-Up Comedy,Comedy,"An aspiring actor leaves Hollywood and takes to the road to do stand-up after he's cast in a series of increasingly stereotypical ""black"" roles."
80133551,Movie,Tracy Morgan: Staying Alive,Ryan Polito,Tracy Morgan,United States,16-May-17,2017,TV-MA,59 min,Stand-Up Comedy,Comedy,"In his first special since his serious car accident, Tracy Morgan cracks jokes about life in a coma, his second marriage and his family's dark side."
80186940,Movie,Ali Wong: Hard Knock Wife,Jay Karas,Ali Wong,United States,13-May-18,2018,TV-MA,64 min,Stand-Up Comedy,Comedy,"Two years after the hit ""Baby Cobra,"" Ali Wong is back with another baby bump – and a torrent of hilarious truths about marriage and motherhood."
80238110,Movie,John Mulaney: Kid Gorgeous at Radio City,Alex Timbers,John Mulaney,United States,01-May-18,2018,TV-MA,65 min,Stand-Up Comedy,Comedy,"John Mulaney relays stories from his childhood and “SNL,” eviscerates the value of college and laments getting older in this electric comedy special."
80150002,Movie,Amy Schumer: The Leather Special,Amy Schumer,Amy Schumer,United States,07-Mar-17,2017,TV-MA,57 min,Stand-Up Comedy,Comedy,"Comic sensation Amy Schumer riffs on sex, dating and the absurdities of fame in a bold and uncensored stand-up set at Denver's Bellco Theater."
80170187,Movie,Gad Elmaleh: American Dream,Michael Simon,Gad Elmaleh,United States,06-Mar-18,2018,TV-14,58 min,Stand-Up Comedy,Comedy,"In his first English-language special, comedian Gad Elmaleh gleefully digs into America's food obsessions, dating culture, slang and more."
80038296,Movie,Aziz Ansari Live at Madison Square Garden,Aziz Ansari,Aziz Ansari,United States,06-Mar-15,2015,TV-MA,58 min,Stand-Up Comedy,Comedy,"Stand-up comedian and TV star Aziz Ansari (""Parks and Recreation"") delivers his sharp-witted take on immigrants, relationships and the food industry."
80179907,Movie,Bridget Christie: Stand Up for Her,,Bridget Christie,United Kingdom,31-Mar-17,2016,TV-MA,51 min,Stand-Up Comedy,Comedy,"Performing stand-up for a packed house in London's Hoxton Hall, comedian Bridget Christie dives into the politics of gender, sex and equality."
80134826,Movie,Jo Koy: Live from Seattle,Shannon Hartman,Jo Koy,United States,28-Mar-17,2017,TV-MA,63 min,Stand-Up Comedy,Comedy,"Between raising a teenage boy and growing up with a Filipino mother, stand-up comic Jo Koy has been through a lot. He's here to tell you all about it."
80213803,TV Show,James Acaster: Repertoire,Dan Lucchesi,James Acaster,United Kingdom,27-Mar-18,2018,TV-14,1 Season,"British TV Shows, International TV Shows, Stand-Up Comedy & Talk Shows",Comedy,"Offbeat comic James Acaster covers the strange, the mundane and everything in between in this collection of four wide-ranging stand-up specials."
81002880,Movie,Nate Bargatze: The Tennessee Kid,Ryan Polito,Nate Bargatze,United States,26-Mar-19,2019,TV-PG,61 min,Stand-Up Comedy,Comedy,"Comic Nate Bargatze touches on air travel, cheap weddings, college football, chocolate milk and the perils of ordering coffee in this stand-up special."
80171965,TV Show,Dave Chappelle,Stan Lathan,Dave Chappelle,United States,21-Mar-17,2017,TV-MA,1 Season,"Stand-Up Comedy & Talk Shows, TV Comedies",Comedy,"Comedy icon Dave Chappelle makes his triumphant return to the screen with a pair of blistering, fresh stand-up specials."
81037077,Movie,Amy Schumer Growing,Amy Schumer,Amy Schumer,United States,19-Mar-19,2019,TV-MA,61 min,Stand-Up Comedy,Comedy,"Amy Schumer spills on her new marriage, personal growth, making a baby and her mom's misguided advice in a special that's both raunchy and sincere."
80076467,Movie,Jimmy Carr: Funny Business,Sam Wrench,Jimmy Carr,United Kingdom,18-Mar-16,2016,TV-MA,62 min,Stand-Up Comedy,Comedy,British comedian Jimmy Carr unleashes his deadpan delivery and wickedly funny one-liners to a sold-out audience at the UK's Hammersmith Apollo.
70045356,Movie,Jeff Dunham: Arguing with Myself,Manny Rodriguez,Jeff Dunham,United States,15-Mar-19,2006,NR,69 min,Stand-Up Comedy,Comedy,"Playing straight man to partners half his size, ventriloquist Jeff Dunham – one of America's funniest comics – slays audiences across the country."
70203594,Movie,Jeff Dunham: Controlled Chaos,"Michael Simon, Matthew McNeil",Jeff Dunham,United States,15-Mar-19,2011,TV-MA,97 min,Stand-Up Comedy,Comedy,"Politically incorrect and often raunchy humor pepper ventriloquist Dunham's live concert performance featuring characters Walter, Achmed and Peanut."
70253171,Movie,Jeff Dunham: Minding the Monsters,Manny Rodriguez,Jeff Dunham,United States,15-Mar-19,2012,TV-MA,80 min,Stand-Up Comedy,Comedy,"Jeff Dunham returns with a haunted house full of his hysterical entourage, and each character stars in its own horror movie trailer."
70109657,Movie,Jeff Dunham's Very Special Christmas Special,Michael Simon,"Jeff Dunham, Brian Haner",United States,15-Mar-19,2008,TV-MA,85 min,Stand-Up Comedy,Comedy,"Politically incorrect, sometimes raunchy ventriloquist Jeff Dunham is joined by his irreverent cast of characters in this hilarious Christmas special."
80134967,Movie,Jim Norton: Mouthful of Shame,Shannon Hartman,Jim Norton,United States,14-Mar-17,2017,TV-MA,62 min,Stand-Up Comedy,Comedy,"In this unrestricted jaunt through a gleefully filthy mind, comic Jim Norton offers a personal perspective on romance, desire and sexual proclivities."
80189653,Movie,Ricky Gervais: Humanity,John L. Spencer,Ricky Gervais,United Kingdom,13-Mar-18,2018,TV-MA,79 min,Stand-Up Comedy,Comedy,"In his first special in seven years, Ricky Gervais slings his trademark snark at celebrity, mortality and a society that takes everything personally."
80203919,Movie,Adel Karam: Live from Beirut,,Adel Karam,United States,01-Mar-18,2018,TV-MA,59 min,Stand-Up Comedy,Comedy,"From Casino du Liban, Lebanese actor and comedian Adel Karam delivers earthy punchlines on kissing norms, colonoscopies and a porn star named Rocco."
